fecha,departamento,enCurso,cantCasosNuevos,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumCasos
17/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
17/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,0,4,12
18/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
18/05/2020,Canelones (UY-CA ),15,0,0,2,0,87,104
18/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
18/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
18/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
18/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
18/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
18/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
18/05/2020,Maldonado (UY-MA ),14,1,0,4,0,22,40
18/05/2020,Montevideo (UY-MO ),104,1,0,14,4,415,533
18/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
18/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
18/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
18/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
18/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
18/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
18/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
18/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
18/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,0,4,12
19/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
19/05/2020,Canelones (UY-CA ),16,2,0,2,1,88,106
19/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
19/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
19/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
19/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
19/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
19/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
19/05/2020,Maldonado (UY-MA ),13,0,0,4,1,23,40
19/05/2020,Montevideo (UY-MO ),103,0,0,14,1,416,533
19/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
19/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
19/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
19/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
19/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
19/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
19/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
19/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
19/05/2020,Treinta y Tres (UY-TT ),0,0,0,0,8,12,12
20/05/2020,Artigas (UY-AR ),1,0,0,0,0,0,1
20/05/2020,Canelones (UY-CA ),16,2,0,2,2,90,108
20/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
20/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
20/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
20/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
